,patterns,count
282,"(3, 3, -2, 2, 3, 1)",5
283,"(2, 1, -1, 3, 3, 1)",14
284,"(3, 2, -2, 2, 3, 1)",1
285,"(3, 3, -2, 2, 3, 2)",1
286,"(2, 1, -1, 3, 3, 2)",6
287,"(3, 3, -1, 3, 3, 1)",13
288,"(3, 2, -2, 3, 3, 2)",1
289,"(2, 2, -1, 3, 3, 1)",3
290,"(3, 2, -1, 3, 3, 1)",16
291,"(3, 1, -1, 3, 3, 3)",5
292,"(2, 2, -2, 3, 3, 1)",2
293,"(3, 1, -1, 3, 2, 1)",1
294,"(3, 3, -2, 3, 3, 1)",3
295,"(2, 2, -2, 2, 3, 1)",2
296,"(3, 2, -1, 3, 3, 2)",3
297,"(3, 1, -1, 3, 3, 2)",6
298,"(2, 1, -2, 2, 3, 1)",1
299,"(3, 2, -2, 2, 3, 2)",2
300,"(3, 2, -1, 3, 2, 1)",6
301,"(3, 2, -1, 3, 3, 3)",2
302,"(3, 1, -1, 3, 3, 1)",1
303,"(3, 3, -2, 2, 3, 1)",13
304,"(2, 1, -1, 3, 3, 1)",8
305,"(3, 2, -2, 2, 3, 1)",5
306,"(3, 1, -1, 3, 2, 1)",2
307,"(2, 1, -1, 3, 3, 2)",5
308,"(3, 2, -2, 3, 3, 2)",1
309,"(3, 2, -2, 3, 3, 1)",2
310,"(3, 2, -1, 3, 3, 1)",14
311,"(3, 1, -1, 3, 3, 3)",5
312,"(2, 2, -1, 3, 3, 1)",4
313,"(3, 2, -1, 3, 2, 2)",1
314,"(3, 3, -1, 3, 3, 1)",7
315,"(2, 2, -2, 2, 3, 1)",2
316,"(3, 2, -1, 3, 3, 2)",8
317,"(3, 1, -1, 3, 3, 2)",16
318,"(2, 1, -2, 2, 3, 1)",1
319,"(3, 1, -1, 3, 2, 2)",2
320,"(3, 2, -1, 3, 2, 1)",2
321,"(3, 1, -1, 3, 3, 1)",4
322,"(3, 3, -2, 2, 3, 1)",3
323,"(2, 2, -2, 2, 3, 2)",1
324,"(2, 1, -1, 3, 3, 1)",8
325,"(3, 2, -2, 2, 3, 1)",6
326,"(3, 2, -2, 2, 3, 2)",1
327,"(2, 1, -1, 3, 3, 2)",5
328,"(2, 1, -2, 2, 3, 2)",1
329,"(3, 2, -1, 3, 3, 1)",13
330,"(3, 1, -1, 3, 3, 3)",4
331,"(2, 2, -1, 3, 3, 1)",3
332,"(3, 3, -1, 3, 3, 1)",13
333,"(2, 2, -2, 2, 3, 1)",2
334,"(2, 1, -2, 2, 3, 2)",1
335,"(3, 2, -2, 2, 3, 2)",1
336,"(3, 1, -1, 3, 2, 2)",2
337,"(3, 2, -1, 3, 3, 3)",1
338,"(2, 2, -2, 2, 3, 2)",2
339,"(3, 3, -2, 2, 3, 2)",1
340,"(2, 1, -1, 3, 3, 2)",4
341,"(3, 3, -1, 3, 3, 1)",15
342,"(2, 2, -2, 3, 3, 1)",1
343,"(3, 2, -1, 3, 3, 2)",8
344,"(3, 1, -1, 3, 3, 1)",1
345,"(3, 3, -2, 2, 3, 1)",4
346,"(2, 1, -1, 3, 3, 1)",10
347,"(3, 2, -1, 3, 3, 1)",9
348,"(3, 3, -2, 3, 3, 1)",2
349,"(2, 2, -2, 2, 3, 1)",3
350,"(3, 1, -1, 3, 3, 2)",14
351,"(3, 2, -1, 3, 2, 1)",5
352,"(2, 2, -1, 3, 3, 1)",3
353,"(3, 2, -2, 2, 3, 1)",2
354,"(3, 1, -1, 3, 3, 3)",7
355,"(3, 2, -1, 3, 2, 2)",1
356,"(3, 2, -1, 3, 3, 2)",8
357,"(3, 1, -1, 3, 3, 2)",10
358,"(3, 2, -2, 3, 3, 1)",2
359,"(3, 1, -1, 3, 2, 2)",3
360,"(3, 2, -1, 3, 3, 3)",1
361,"(3, 1, -1, 3, 3, 1)",1
362,"(3, 3, -2, 2, 3, 1)",7
363,"(2, 2, -2, 2, 3, 2)",2
364,"(2, 1, -1, 3, 3, 1)",8
365,"(3, 2, -2, 2, 3, 1)",1
366,"(2, 1, -2, 3, 3, 1)",1
367,"(3, 2, -1, 3, 2, 1)",3
368,"(2, 1, -1, 3, 3, 2)",3
369,"(3, 3, -2, 3, 3, 1)",1
370,"(2, 2, -1, 3, 3, 1)",5
371,"(3, 2, -1, 3, 3, 1)",20
372,"(3, 1, -1, 3, 3, 3)",4
373,"(2, 2, -2, 3, 3, 1)",1
374,"(3, 3, -1, 3, 3, 1)",10
375,"(2, 2, -2, 2, 3, 1)",3
376,"(2, 1, -2, 2, 3, 2)",2
377,"(3, 2, -1, 3, 3, 1)",13
378,"(3, 2, -2, 2, 3, 2)",5
379,"(3, 1, -1, 3, 2, 2)",1
380,"(3, 2, -1, 3, 3, 3)",1
381,"(3, 3, -2, 2, 3, 2)",1
382,"(2, 1, -1, 3, 3, 2)",6
383,"(3, 3, -2, 3, 3, 1)",1
384,"(2, 2, -1, 3, 3, 1)",6
385,"(3, 2, -1, 3, 3, 2)",4
386,"(3, 1, -1, 3, 3, 1)",4
387,"(3, 3, -2, 2, 3, 1)",10
388,"(2, 1, -1, 3, 3, 1)",12
389,"(3, 2, -2, 3, 3, 1)",1
390,"(3, 3, -1, 3, 3, 1)",4
391,"(2, 2, -2, 2, 3, 1)",2
392,"(3, 1, -1, 3, 3, 2)",8
393,"(2, 1, -2, 2, 3, 1)",1
394,"(3, 2, -1, 3, 2, 1)",1
395,"(2, 2, -2, 3, 3, 1)",2
396,"(3, 2, -2, 2, 3, 1)",4
397,"(3, 1, -1, 3, 3, 3)",5
398,"(3, 2, -1, 3, 2, 2)",1
399,"(3, 2, -1, 3, 3, 2)",4
400,"(3, 1, -1, 3, 3, 2)",9
401,"(2, 1, -2, 2, 3, 1)",2
402,"(3, 2, -1, 3, 2, 1)",2
403,"(3, 2, -1, 3, 3, 3)",2
404,"(3, 3, -2, 2, 3, 1)",8
405,"(2, 2, -2, 2, 3, 2)",1
406,"(2, 1, -1, 3, 3, 1)",12
407,"(3, 2, -2, 2, 3, 1)",2
408,"(2, 1, -1, 3, 3, 2)",6
409,"(3, 3, -2, 3, 3, 1)",2
410,"(2, 2, -2, 3, 3, 1)",1
411,"(3, 2, -1, 3, 3, 1)",12
412,"(3, 1, -1, 3, 3, 3)",3
413,"(2, 2, -1, 3, 3, 1)",11
414,"(3, 3, -1, 3, 3, 1)",14
415,"(2, 2, -2, 2, 3, 1)",2
416,"(3, 2, -1, 3, 3, 2)",5
417,"(3, 1, -1, 3, 3, 2)",8
418,"(3, 1, -1, 3, 2, 2)",1
419,"(3, 2, -2, 2, 3, 2)",1
420,"(3, 2, -1, 3, 2, 1)",6
421,"(3, 1, -1, 3, 3, 1)",1
422,"(3, 3, -2, 2, 3, 1)",3
423,"(2, 1, -1, 3, 3, 1)",10
424,"(3, 2, -2, 2, 3, 1)",4
425,"(2, 1, -2, 2, 3, 1)",1
426,"(3, 3, -2, 2, 3, 2)",1
427,"(2, 1, -1, 3, 3, 2)",5
428,"(3, 3, -2, 3, 3, 1)",3
429,"(3, 2, -1, 3, 3, 1)",19
430,"(3, 1, -1, 3, 3, 3)",3
431,"(3, 1, -1, 3, 2, 1)",1
432,"(2, 2, -1, 3, 3, 1)",5
433,"(3, 2, -1, 3, 2, 2)",1
434,"(3, 3, -1, 3, 3, 1)",12
435,"(2, 2, -2, 2, 3, 1)",2
436,"(3, 2, -1, 3, 3, 2)",7
437,"(3, 1, -1, 3, 3, 2)",12
438,"(3, 1, -1, 3, 2, 2)",1
439,"(3, 2, -1, 3, 2, 1)",1
440,"(3, 1, -1, 3, 3, 1)",2
441,"(3, 3, -2, 2, 3, 1)",9
442,"(2, 2, -2, 2, 3, 2)",1
443,"(2, 1, -1, 3, 3, 1)",7
444,"(3, 2, -2, 2, 3, 1)",4
445,"(3, 3, -2, 2, 3, 2)",1
446,"(2, 1, -1, 3, 3, 2)",7
447,"(3, 3, -2, 3, 3, 1)",2
448,"(3, 2, -2, 3, 3, 1)",1
449,"(3, 2, -1, 3, 3, 1)",13
450,"(3, 1, -1, 3, 3, 3)",5
451,"(2, 2, -1, 3, 3, 1)",8
452,"(3, 1, -1, 3, 2, 1)",1
453,"(3, 3, -1, 3, 3, 1)",13
454,"(2, 2, -2, 2, 3, 1)",3
