	GAPD	GAPD&nad	GAPD&nad&g3p	GAPD&nad&g3p&pi	GAPD&nadh	GAPD&nadh&13dpg
78	5.8026297429e-08	5.63477325603e-05	1.18114198302e-09	5.00217973294e-07	1.7654857158e-06	4.89068463797e-06
79	3.47193541163e-08	5.82141465499e-05	1.2426306351e-09	3.09610698979e-07	2.02912985007e-06	4.71446773065e-06
80	6.7003589826e-08	5.76244739314e-05	1.08393881343e-09	6.66894138506e-07	3.00823307105e-06	4.71837031649e-06
81	5.30975274785e-08	5.71025030316e-05	2.19922235794e-09	3.30087573357e-07	1.84629658617e-06	8.26357597259e-06
82	4.85306182195e-08	5.48988136331e-05	1.27780159381e-09	1.59124898155e-06	1.6643808558e-06	5.45030840674e-06
83	5.41701378936e-08	5.76227433262e-05	1.2430141601e-09	1.33378808823e-07	2.4331254955e-06	4.68872076507e-06
84	5.65923689112e-08	5.69791642341e-05	2.02785650408e-09	1.13607944109e-06	3.07452497271e-06	5.49505872037e-06
85	4.06786833426e-08	5.64313541445e-05	1.61139825158e-09	5.80616636076e-07	1.55604582577e-06	6.67489934382e-06
86	3.9873166364e-08	5.69488243668e-05	1.93263084504e-09	6.37120669323e-07	1.85090747903e-06	5.62027552702e-06
87	5.63413107358e-08	5.6527861501e-05	1.49942482908e-09	5.37421971732e-07	2.82674705516e-06	5.29837313096e-06
88	4.6067631751e-08	5.4989767917e-05	1.92434750956e-09	6.86321331006e-07	2.28273113625e-06	6.43457589427e-06
89	3.77149300806e-08	5.67694375804e-05	1.08208837386e-09	1.0047447977e-06	1.30217320268e-06	5.02967372889e-06
90	4.2204028261e-08	5.73510922387e-05	1.69925319974e-09	9.87454661838e-07	2.27527335735e-06	4.9671880804e-06
91	4.63104007191e-08	5.75545909333e-05	1.25078288656e-09	3.17460625595e-07	1.87808845613e-06	7.53677505203e-06
92	4.58308858515e-08	5.75193522069e-05	1.1317078094e-09	6.98700011795e-07	2.20878970746e-06	4.38914603195e-06
93	3.81404609468e-08	5.77437506393e-05	2.44212684018e-09	1.52707585333e-06	1.21024614889e-06	5.34077121589e-06
94	7.57105850051e-08	5.69174493873e-05	1.22087468528e-09	1.14421884334e-06	2.09230314269e-06	5.38538280185e-06
95	4.79192884726e-08	5.70019217649e-05	1.23326877148e-09	1.87853685582e-06	2.52328464608e-06	5.1213020837e-06
96	5.09337851574e-08	5.66140612116e-05	5.77094712742e-10	1.79952658341e-06	2.92309497476e-06	2.88421567914e-06
97	4.07416306804e-08	5.77206550629e-05	1.03451718251e-09	7.32791453051e-07	1.89630720293e-06	5.67417036485e-06
