ssd,Km_nad,Km_g3p,Km_pi,kcat_f,Keq,Kd,dKd
5.487735779678608e-7,0.0022127101106696914,0.04377273583049492,0.026065437460473774,0.00001243405010661684,3.781623539385461e-6,7.041087932685092e-7,3.074406951242281e-6
5.487735787850784e-7,0.0022125601369284626,0.04377923456119469,0.026047428386199015,0.000010935351797546792,3.5220743480033206e-7,2.936004660014169e-6,3.319180696959023e-6
5.487735831448842e-7,0.0022127321999487613,0.043772391536040574,0.026068024295709116,0.000013086180820888574,2.7369407748034255e-6,6.274327073614775e-7,2.178010771736183e-6
5.487735866143181e-7,0.002212725277634116,0.043772373329411134,0.02606774069722375,0.000013358557091680214,3.9276072807050055e-6,9.818005544611143e-7,2.9606596285702835e-6
5.487735949718103e-7,0.0022127563213389283,0.04377330491096548,0.026069424382557525,0.00001414869783655295,3.00818504815823e-6,9.272294311302965e-7,2.468597282145879e-6
5.48773596208583e-7,0.0022127526557869084,0.043774100427705416,0.02606819533887106,0.000014198759029554889,3.918627222120359e-6,1.1588693675568898e-6,2.7531966706462185e-6
5.487736004722299e-7,0.0022125941639962532,0.04378165564878433,0.026048446604543266,0.000013444153884352295,5.37511296534179e-7,3.95973377549829e-6,3.423718264450315e-6
5.487736297055743e-7,0.0022125679356248063,0.04378880493365474,0.026038512992962063,0.000011310291921602842,4.371731713117398e-7,3.0486010474777037e-6,3.4644737967326478e-6
5.487736668863017e-7,0.0022126914121877407,0.043796984392808075,0.02603938600316835,0.000011461505533052739,1.9218253954801926e-6,1.9454677547955147e-7,1.6599292607111238e-6
5.487738426936867e-7,0.002212565511032523,0.043810799875025466,0.026015269382784104,0.000010747642441693547,7.726591736138392e-7,2.912057648931861e-6,3.670094816943248e-6
5.487745176312674e-7,0.002212417080005577,0.04384213603033795,0.02596853850719871,1.9066336834391643e-6,3.930655100813392e-6,2.191844823733414e-7,4.145578380576609e-6
5.487748919839367e-7,0.002212733735224213,0.043672704153235806,0.026165629184556234,0.00001048684895074496,2.1737288468723383e-6,2.742162129564533e-7,1.9560414177277607e-6
